25/04/20 16:31:29.329 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:30.553 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:30.554 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:31.782 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:31.782 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:32.831 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:32.831 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:51.591 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:51.591 [1995872416] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:31:52.640 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:52.640 [1995872416] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:31:53.678 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:53.678 [1995872416] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:31:54.717 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:54.717 [1995872416] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:31:55.752 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:55.752 [1995872416] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:31:56.815 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:56.815 [1995872416] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:31:57.014 [1995872416] INFO  parScreenLog - Application is shutting down...
25/04/20 16:43:42.323 [1996220576] INFO  parScreenLog - Loading settings...
25/04/20 16:43:42.325 [1996220576] WARN  parScreenLog - Error loading settings => will use default settings
25/04/20 16:43:42.338 [1996220576] DEBUG parScreenLog - Config saved to /home/pi/par/par_screen/config/settings.ini
25/04/20 16:43:42.339 [1996220576] INFO  parScreenLog - Loading settings complete
25/04/20 16:43:42.339 [1996220576] DEBUG parScreenLog - Resources dir is not exists. Will creating it.
25/04/20 16:43:42.340 [1996220576] DEBUG parScreenLog - Listening on 48545
25/04/20 16:43:42.341 [1996220576] DEBUG parScreenLog - rgb = RGB
25/04/20 16:43:42.343 [1996220576] DEBUG parScreenLog - led_matrix: size = 32x32. Hardware gpio mapping: regular
25/04/20 16:43:42.449 [1996220576] ERROR parScreenLog - Can't open pid file /var/run/par/par_screend.pid for reading
